MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Karnataka,Lok Sabha,147000000.0,122390292.0,44313852.0,83.26,51,320,15.94,78076440.0,120,105,15,
Shankar Lalwani,INDORE,Madhya Pradesh,Lok Sabha,147000000.0,122331388.0,76896131.0,83.22,145,302,48.01,45435257.0,272,272,0,
Shri Pradip Kumar Varma (2024-30),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,178564551.09,147971716.0,101069118.0,82.87,24,237,10.13,46902598.0,244,242,2,
Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,Uttarakhand,Lok Sabha,147000000.0,121413994.0,51274009.0,82.59,85,484,17.56,70139985.0,916,897,19,
SAVITRI THAKUR,DHAR,Madhya Pradesh,Lok Sabha,147000000.0,121039723.0,80699431.0,82.34,179,339,52.8,40340292.0,484,479,5,
Shri Mukul Wasnik (2022-28),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,196063957.11,161404422.0,114656779.01,82.32,94,170,55.29,46747642.99,455,451,4,
DEEPENDER SINGH HOODA,ROHTAK,Haryana,Lok Sabha,147000000.0,120944825.0,59066490.0,82.28,70,177,39.55,61878335.0,148,148,0,
SHER SINGH GHUBAYA,FIROZPUR,Punjab,Lok Sabha,147000000.0,120880251.0,94266196.0,82.23,361,480,75.21,26614055.0,462,462,0,
DR. HEMANG JOSHI,VADODARA,Gujarat,Lok Sabha,147000000.0,120876228.0,69015565.0,82.23,72,204,35.29,51860663.0,123,122,1,
BRIJMOHAN AGRAWAL,RAIPUR,Chhattisgarh,Lok Sabha,153766451.11,126349504.0,68756217.0,82.17,38,164,23.17,57593287.0,168,165,3,
Vijay Baghel,DURG,Chhattisgarh,Lok Sabha,147000000.0,120691956.0,58735103.0,82.1,70,218,32.11,61956853.0,249,243,6,
C R Patil,NAVSARI,Gujarat,Lok Sabha,158532494.36,130009644.0,72577870.0,82.01,268,408,65.69,57431774.0,283,262,21,
Smt. Sadhna Singh (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,120396796.0,101298179.0,81.9,5,18,27.78,19098617.0,37,37,0,
GOVIND MAKTHAPPA KARJOL,CHITRADURGA,Karnataka,Lok Sabha,147000000.0,120250000.0,46311790.0,81.8,19,225,8.44,73938210.0,125,107,18,
Shri Hardeep Singh Puri (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,226801049.11,185320368.2,180480217.2,81.71,292,415,70.36,4840151.0,885,885,0,
SAMBIT PATRA,PURI,Odisha,Lok Sabha,147000000.0,120088525.0,38354750.0,81.69,548,730,75.07,81733775.0,847,847,0,
SHOBHA KARANDLAJE,BANGALORE NORTH,Karnataka,Lok Sabha,147000000.0,119610632.0,61473509.0,81.37,21,114,18.42,58137123.0,104,104,0,
DR C N MANJUNATH,BANGALORE RURAL,Karnataka,Lok Sabha,147000000.0,119592941.0,58422695.0,81.36,66,250,26.4,61170246.0,190,183,7,
Shri Harsh Mahajan (2024-30),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,147000000.0,119544449.0,75761105.0,81.32,154,461,33.41,43783344.0,476,471,5,
SARABJEET SINGH KHALSA,FARIDKOT,Punjab,Lok Sabha,150850348.15,122584450.0,95470473.0,81.26,227,538,42.19,27113977.0,712,702,10,
S. Jagathrakshakan,ARAKKONAM,Tamil Nadu,Lok Sabha,180589332.34,146686107.0,57167418.0,81.23,36,163,22.09,89518689.0,67,53,14,
Y S Avinash Reddy,KADAPA,Andhra Pradesh,Lok Sabha,156430260.11,127002758.0,41232850.0,81.19,57,315,18.1,85769908.0,89,89,0,
KARTICK CHANDRA PAUL,RAIGANJ,West Bengal,Lok Sabha,202677986.56,164438143.0,28148611.0,81.13,99,408,24.26,136289532.0,102,102,0,
Adv Adoor Prakash ,ATTINGAL,Kerala,Lok Sabha,147000000.0,119164425.0,28617364.0,81.06,108,445,24.27,90547061.0,115,115,0,
KALI CHARAN MUNDA,KHUNTI,Jharkhand,Lok Sabha,147000000.0,119080900.0,77772545.0,81.01,31,305,10.16,41308355.0,240,240,0,
Kinjarapu Ram Mohan Naidu,SRIKAKULAM,Andhra Pradesh,Lok Sabha,171200630.11,138619075.0,55172810.0,80.97,60,214,28.04,83446265.0,106,101,5,
Shri Sanjay Singh (2024-30),Sitting Rajya Sabha,Delhi,Rajya Sabha,184466426.11,149352110.0,17660934.0,80.96,17,105,16.19,131691176.0,23,22,1,
Shri Aditya Prasad (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,227628508.2,184173092.0,159474868.0,80.91,141,226,62.39,24698224.0,383,382,1,
HARIBHAI PATEL,MAHESANA,Gujarat,Lok Sabha,147000000.0,118878572.0,51381778.0,80.87,150,620,24.19,67496794.0,269,266,3,
PRANITI SUSHILKUMAR SHINDE,SOLAPUR,Maharashtra,Lok Sabha,147000000.0,118376684.0,8440395.0,80.53,2,131,1.53,109936289.0,9,9,0,
Mansukhbhai Dhanjibhai Vasava,BHARUCH,Gujarat,Lok Sabha,147000000.0,118371884.0,70528294.0,80.53,208,396,52.53,47843590.0,247,239,8,
Kakoli Ghosh Dastidar ,BARASAT,West Bengal,Lok Sabha,147000000.0,117928163.0,61929956.0,80.22,77,181,42.54,55998207.0,100,100,0,
Dr. Sikander Kumar (2022-28),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,207863957.11,166754937.04,127681938.04,80.22,171,394,43.4,39072998.99999999,423,417,6,
Smt. Rekha Sharma (2024-28),Sitting Rajya Sabha,Haryana,Rajya Sabha,98000000.0,78438885.0,14183077.0,80.04,1,145,0.69,64255808.0,187,182,5,
Mitesh Rameshbhai Bakabhai Patel,ANAND,Gujarat,Lok Sabha,147000000.0,117585497.0,58453147.0,79.99,247,533,46.34,59132350.0,295,283,12,5.0
Smt. Nirmala Sitharaman (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,215972051.45,172686000.0,91394660.0,79.96,7,23,30.43,81291340.0,10,9,1,
Shri Masthan Rao Yadav Beedha (2024-28),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,171296045.11,136413877.0,35512349.0,79.64,40,120,33.33,100901528.0,46,46,0,
SURESH GOPI,THRISSUR,Kerala,Lok Sabha,147000000.0,117029364.0,16001891.0,79.61,15,90,16.67,101027473.0,21,21,0,
Hasmukh Bhai Soma Bhai Patel,AHMEDABAD EAST,Gujarat,Lok Sabha,147000000.0,117018098.0,32021270.0,79.6,20,197,10.15,84996828.0,36,36,0,
BHUMARE SANDIPANRAO ASARAM,AURANGABAD,Maharashtra,Lok Sabha,147000000.0,116994317.0,52095352.0,79.59,29,92,31.52,64898965.0,38,36,2,
Putta Mahesh Kumar,ELURU,Andhra Pradesh,Lok Sabha,147000000.0,116854934.0,43504398.0,79.49,54,113,47.79,73350536.0,69,68,1,
DR RANI SRI KUMAR,TENKASI,Tamil Nadu,Lok Sabha,153060922.82,121586066.0,99919930.0,79.44,102,160,63.75,21666136.0,123,123,0,
Dr. Abhishek Manu Singhvi (2026-32),Sitting Rajya Sabha,Telangana,Rajya Sabha,73421449.0,58300000.0,0.0,79.4,0,16,0.0,58300000.0,0,0,0,
THANGA TAMILSELVAN,THENI,Tamil Nadu,Lok Sabha,147000000.0,116573891.0,49328291.0,79.3,24,96,25.0,67245600.0,56,50,6,
Shri G.C. Chandrashekhar (2024-30),Sitting Rajya Sabha,Karnataka,Rajya Sabha,147000000.0,116453370.0,69767504.0,79.22,65,200,32.5,46685866.0,149,146,3,
Shri Chandra Prakash Choudhary,GIRIDIH,Jharkhand,Lok Sabha,147000000.0,116301602.0,57353516.0,79.12,49,674,7.27,58948086.0,305,270,35,
Rajeshbhai Naranbhai Chudasama,JUNAGADH,Gujarat,Lok Sabha,147000000.0,116252052.0,56040284.0,79.08,152,354,42.94,60211768.0,176,171,5,
Shri Birendra Prasad Baishya (2025-31),Sitting Rajya Sabha,Assam,Rajya Sabha,98000000.0,77500000.0,27790330.0,79.08,1,45,2.22,49709670.0,26,25,1,
SURENDRA PRASAD YADAV,JAHANABAD,Bihar,Lok Sabha,155325714.0,122571460.0,71115717.0,78.91,142,303,46.86,51455743.0,203,200,3,
Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235770091.81,185903989.0,183791258.0,78.85,171,177,96.61,2112731.0,176,176,0,
Shri Harbhajan Singh (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,220984094.27,173949652.52,101056126.52,78.72,77,197,39.09,72893526.00000001,530,527,3,
DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR,Punjab,Lok Sabha,147000000.0,115689409.0,75842759.0,78.7,97,286,33.92,39846650.0,1276,1254,22,
DR. S P SINGH,PRATAPGARH,Uttar Pradesh,Lok Sabha,147000000.0,115593071.0,47950833.0,78.63,106,600,17.67,67642238.0,188,107,81,
Shri Benny Behanan,CHALAKUDY,Kerala,Lok Sabha,164674770.11,129377767.0,29054612.0,78.57,13,171,7.6,100323155.0,35,33,2,
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Karnataka,Lok Sabha,147000000.0,115450000.0,62346570.0,78.54,34,182,18.68,53103430.0,178,178,0,
Shri NK Premachandran,KOLLAM,Kerala,Lok Sabha,171477994.11,134638644.34,65801960.0,78.52,53,196,27.04,68836684.34,106,105,1,
BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Gujarat,Lok Sabha,147000000.0,115379329.0,61536765.0,78.49,156,325,48.0,53842564.0,186,182,4,
Gyaneshwar Patil,KHANDWA,Madhya Pradesh,Lok Sabha,155690684.77,122106817.0,86443874.0,78.43,164,370,44.32,35662943.0,471,458,13,
T Sumathy (A) Thamizhachi Thangapandian ,CHENNAI SOUTH,Tamil Nadu,Lok Sabha,147000000.0,115205616.0,28530278.0,78.37,5,31,16.13,86675338.0,25,25,0,
Shri P. Chidambaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,236312242.52,184916919.0,134466470.0,78.25,75,144,52.08,50450449.0,190,189,1,
Shri K.R.N. Rajeshkumar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,238513975.53,186409814.0,152999036.0,78.15,84,102,82.35,33410778.0,97,96,1,
Dr. Sasmit Patra (2022-28),Sitting Rajya Sabha,Odisha,Rajya Sabha,196063957.11,152627195.0,31000333.0,77.85,44,305,14.43,121626862.0,123,121,2,
Shri Kumbakudi Sudhakaran,KANNUR,Kerala,Lok Sabha,147000000.0,114174376.0,26785182.0,77.67,63,293,21.5,87389194.0,98,81,17,
ADITYA YADAV,BADAUN,Uttar Pradesh,Lok Sabha,147000000.0,113867272.0,90991162.0,77.46,41,134,30.6,22876110.0,207,186,21,
KALIPADA SAREN,JHARGRAM,West Bengal,Lok Sabha,147000000.0,113497279.0,71784126.0,77.21,40,63,63.49,41713153.0,49,48,1,
CAPTAIN VIRIATO FERNANDES,SOUTH GOA,Goa,Lok Sabha,147000000.0,113444053.0,48358008.0,77.17,47,133,35.34,65086045.0,78,78,0,
Shri Pabitra Margherita (2022-28),Sitting Rajya Sabha,Assam,Rajya Sabha,220563957.11,170051035.54,63765614.44,77.1,5,210,2.38,106285421.1,113,113,0,
D Ravikumar ,VILUPPURAM,Tamil Nadu,Lok Sabha,197598306.11,152025450.0,105671025.0,76.94,222,288,77.08,46354425.0,234,229,5,
Smt Harsimrat Kaur Badal,BHATINDA,Punjab,Lok Sabha,159775982.39,122829004.0,86764668.0,76.88,147,365,40.27,36064336.0,1509,1416,93,
Shrirang Appa Barne,MAVAL,Maharashtra,Lok Sabha,147000000.0,112946842.0,36220911.0,76.83,32,111,28.83,76725931.0,54,53,1,
MADHAVANENI RAGHUNANDAN RAO,MEDAK,Telangana,Lok Sabha,147000000.0,112814529.0,30484168.0,76.74,41,182,22.53,82330361.0,49,49,0,
Rajiv Pratap Rudy,SARAN,Bihar,Lok Sabha,147000000.0,112715000.0,0.0,76.68,0,12,0.0,112715000.0,0,0,0,
Jagannath Sarkar,RANAGHAT,West Bengal,Lok Sabha,147000000.0,112612025.0,41712525.0,76.61,70,219,31.96,70899500.0,86,86,0,
Shri R. Girirajan (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,236312242.52,180956439.0,165928789.0,76.58,151,221,68.33,15027650.0,191,190,1,
CHHATRA PAL SINGH GANGWAR,BAREILLY,Uttar Pradesh,Lok Sabha,147000000.0,112521541.0,95894511.0,76.55,142,184,77.17,16627030.0,292,290,2,
Shri Amar Singh,FATEHGARH SAHIB,Punjab,Lok Sabha,147000000.0,112428591.0,43758588.0,76.48,61,351,17.38,68670003.0,533,523,10,
Smt Himadri Singh,SHAHDOL,Madhya Pradesh,Lok Sabha,150724861.11,115253372.0,60185831.0,76.47,45,168,26.79,55067541.0,187,168,19,
Ravindra Vasantrao Chavan,NANDED,Maharashtra,Lok Sabha,147000000.0,112097527.0,42525242.0,76.26,26,140,18.57,69572285.0,52,47,5,
KAMLESH JANGDE,JANJGIR CHAMPA,Chhattisgarh,Lok Sabha,150384382.11,114661679.0,99411941.0,76.25,254,344,73.84,15249738.0,602,596,6,
MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,Gujarat,Lok Sabha,147000000.0,111944052.0,26395724.0,76.15,92,215,42.79,85548328.0,112,112,0,
ROOP KUMARI CHOUDHARY,MAHASAMUND,Chhattisgarh,Lok Sabha,153035414.0,116384962.0,76671139.0,76.05,73,179,40.78,39713823.0,252,248,4,
Shri Jose K. Mani (2024-30),Sitting Rajya Sabha,Kerala,Rajya Sabha,122500000.0,93058963.0,19384930.0,75.97,28,182,15.38,73674033.0,44,44,0,
ARUNA. D. K,MAHABUBNAGAR,Telangana,Lok Sabha,147000000.0,111450311.0,44232038.0,75.82,127,321,39.56,67218273.0,153,153,0,
PUSHPENDRA SAROJ,KAUSHAMBI,Uttar Pradesh,Lok Sabha,147000000.0,111314034.0,56198890.0,75.72,607,2584,23.49,55115144.0,907,833,74,
Gajendra Singh Patel,KHARGONE,Madhya Pradesh,Lok Sabha,147000000.0,111277517.0,68143099.0,75.7,104,336,30.95,43134418.0,383,381,2,
ARUN BHARTI,JAMUI,Bihar,Lok Sabha,194924621.11,147431859.0,132883940.0,75.64,218,328,66.46,14547919.0,306,305,1,
MAHESH KASHYAP,BASTAR,Chhattisgarh,Lok Sabha,147000000.0,111167508.0,64495987.5,75.62,38,206,18.45,46671520.5,196,188,8,
Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,197118521.35,148906747.0,127377000.12,75.54,142,217,65.44,21529746.879999995,427,426,1,
Shri Jugal Kishore Sharma,JAMMU,Jammu And Kashmir,Lok Sabha,147000000.0,110993405.0,30668749.0,75.51,45,211,21.33,80324656.0,97,95,2,
Shri Suresh Kodikunnil,MAVELIKKARA,Kerala,Lok Sabha,172429519.11,130007478.0,42019767.0,75.4,58,191,30.37,87987711.0,86,85,1,
Shri Ram Nath Thakur (2026-32),Sitting Rajya Sabha,Bihar,Rajya Sabha,65673638.73,49489900.0,0.0,75.36,0,33,0.0,49489900.0,0,0,0,
BIPLAB KUMAR DEB,TRIPURA WEST,Tripura,Lok Sabha,147000000.0,110368188.0,52876465.0,75.08,7,32,21.88,57491723.0,27,26,1,
Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,196063957.11,147179063.89,134148715.0,75.07,156,185,84.32,13030348.889999986,193,190,3,
RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,Gujarat,Lok Sabha,147000000.0,110209464.0,26559049.0,74.97,91,539,16.88,83650415.0,129,110,19,
Arvind Ganpat Sawant,MUMBAI SOUTH,Maharashtra,Lok Sabha,147000000.0,110174739.0,28859509.0,74.95,14,60,23.33,81315230.0,18,18,0,
Shri Damodar Rao Divakonda (2022-28),Sitting Rajya Sabha,Telangana,Rajya Sabha,239919406.11,179745038.0,77052481.0,74.92,110,295,37.29,102692557.0,195,195,0,
Devendra Alias Bhole Singh,AKBARPUR,Uttar Pradesh,Lok Sabha,147000000.0,110013145.0,62000186.0,74.84,62,148,41.89,48012959.0,98,98,0,
CHIRAG PASWAN,HAJIPUR,Bihar,Lok Sabha,147000000.0,109916007.0,53484547.0,74.77,47,113,41.59,56431460.0,56,55,1,
Suresh Kumar Kashyap,SHIMLA,Himachal Pradesh,Lok Sabha,153563957.11,114805358.0,90424211.0,74.76,83,541,15.34,24381147.0,591,586,5,
BALWANT BASWANT WANKHADE,AMRAVATI,Maharashtra,Lok Sabha,198293678.0,148214000.0,94386242.0,74.74,51,167,30.54,53827758.0,121,114,7,
Dr. Ajeet Madhavrao Gopchade (2024-30),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,147000000.0,109833137.0,53532752.0,74.72,44,91,48.35,56300385.0,52,52,0,
ALFRED KANNGAM S ARTHUR,OUTER MANIPUR,Manipur,Lok Sabha,147000000.0,109651963.0,84951963.0,74.59,15,36,41.67,24700000.0,72,72,0,
BHUPENDER YADAV,ALWAR,Rajasthan,Lok Sabha,147000000.0,109636318.0,59638968.0,74.58,31,74,41.89,49997350.0,68,67,1,
Vishnu Dutt Sharma,KHAJURAHO,Madhya Pradesh,Lok Sabha,147000000.0,109473142.0,12409947.0,74.47,3,135,2.22,97063195.0,25,21,4,
UMMEDA RAM BENIWAL,BARMER,Rajasthan,Lok Sabha,147000000.0,109334535.0,66028772.0,74.38,96,184,52.17,43305763.0,188,186,2,
EATALA RAJENDER,MALKAJGIRI,Telangana,Lok Sabha,327477390.86,243219278.0,34708670.0,74.27,29,300,9.67,208510608.0,59,53,6,
DHAVAL LAXMANBHAI PATEL,VALSAD,Gujarat,Lok Sabha,147000000.0,109117733.0,35423530.0,74.23,60,233,25.75,73694203.0,66,65,1,
Shri Madan Rathore (2024-30),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,147000000.0,109050806.0,32632145.0,74.18,21,132,15.91,76418661.0,229,223,6,
Shri Gurjeet Singh Aujla,AMRITSAR,Punjab,Lok Sabha,147000000.0,108934778.0,67674872.0,74.11,91,281,32.38,41259906.0,330,325,5,
Jyotsna Charandas Mahant ,KORBA,Chhattisgarh,Lok Sabha,155153738.11,114747960.0,75564467.0,73.96,136,310,43.87,39183493.0,435,428,7,
BAG MITALI,ARAMBAG,West Bengal,Lok Sabha,147000000.0,108701505.0,53162451.0,73.95,90,186,48.39,55539054.0,100,96,4,
Dr. Parmar Jashvantsinh Salamsinh (2024-30),Sitting Rajya Sabha,Gujarat,Rajya Sabha,147000000.0,108602244.0,38994089.0,73.88,62,370,16.76,69608155.0,104,93,11,
Mahendra Singh Solanky,DEWAS,Madhya Pradesh,Lok Sabha,147000000.0,108538357.0,42062417.0,73.84,10,143,6.99,66475940.0,108,107,1,
Vaithilingam Ve,Puducherry,Puducherry,Lok Sabha,209368972.11,153891559.0,33557935.0,73.5,13,75,17.33,120333624.0,27,22,5,
HARENDRA SINGH MALIK,MUZAFFARNAGAR,Uttar Pradesh,Lok Sabha,147000000.0,107954919.0,45924912.0,73.44,32,221,14.48,62030007.0,143,121,22,
Dr. K. Laxman (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,197637007.11,145129100.0,123809716.0,73.43,275,323,85.14,21319384.0,323,311,12,
ARUN NEHRU,PERAMBALUR,Tamil Nadu,Lok Sabha,147000000.0,107833157.0,69561568.0,73.36,54,82,65.85,38271589.0,82,81,1,
ARUN GOVIL,MEERUT,Uttar Pradesh,Lok Sabha,147000000.0,107650221.0,66737649.0,73.23,36,232,15.52,40912572.0,172,169,3,
GODAM NAGESH,ADILABAD,Telangana,Lok Sabha,147000000.0,107604990.0,35717086.0,73.2,80,357,22.41,71887904.0,142,142,0,
Daggubati Purandeshwari,RAJAHMUNDRY,Andhra Pradesh,Lok Sabha,147000000.0,107500000.0,14394558.0,73.13,3,37,8.11,93105442.0,13,13,0,
Ashok Kumar Yadav ,MADHUBANI,Bihar,Lok Sabha,147000000.0,107242559.0,70438959.0,72.95,81,189,42.86,36803600.0,132,132,0,
Shri Imran Pratapgarhi (2022-28),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,196000000.0,142959046.0,102738277.0,72.94,53,108,49.07,40220769.0,75,75,0,
Vishnu Dayal Ram,PALAMU,Jharkhand,Lok Sabha,158176083.11,115360621.0,83852477.0,72.93,117,271,43.17,31508144.0,333,332,1,
ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,Manipur,Lok Sabha,147000000.0,107148946.0,93860392.0,72.89,21,47,44.68,13288554.0,67,67,0,
Dr. Syed Naseer Hussain (2024-30),Sitting Rajya Sabha,Karnataka,Rajya Sabha,147000000.0,106990000.0,52745755.0,72.78,3,69,4.35,54244245.0,44,44,0,
Rajkumar Chahar ,FATEHPUR SIKRI,Uttar Pradesh,Lok Sabha,147000000.0,106977092.0,96369831.0,72.77,45,50,90.0,10607261.0,92,92,0,
Shri Jairam Ramesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,220563957.11,160447985.0,73553485.0,72.74,18,127,14.17,86894500.0,79,78,1,
DR.K.SUDHAKAR,CHIKBALLAPUR,Karnataka,Lok Sabha,147000000.0,106674028.0,38953975.0,72.57,18,164,10.98,67720053.0,138,134,4,
Shatrughan Sinha,ASANSOL,West Bengal,Lok Sabha,147000000.0,106621025.0,66966504.0,72.53,5,36,13.89,39654521.0,20,20,0,
Annpurna Devi ,KODARMA,Jharkhand,Lok Sabha,166665931.8,120671517.0,42079828.0,72.4,85,392,21.68,78591689.0,146,137,9,
Smt. Maya Naroliya (2024-30),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,147000000.0,106292558.0,70791767.0,72.31,16,156,10.26,35500791.0,181,172,9,
Bhagirath Chaudhary,AJMER,Rajasthan,Lok Sabha,147000000.0,106250674.0,47945999.0,72.28,58,155,37.42,58304675.0,643,557,86,
Shri Yerram Venkata Subba Reddy (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,106057085.0,33232213.0,72.15,38,142,26.76,72824872.0,72,69,3,
Amol Ramsing Kolhe,SHIRUR,Maharashtra,Lok Sabha,147000000.0,105981153.0,21557613.0,72.1,15,111,13.51,84423540.0,26,25,1,
RAJEEV RAI,GHOSI,Uttar Pradesh,Lok Sabha,147000000.0,105878306.0,66462043.0,72.03,108,272,39.71,39416263.0,311,310,1,
K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,Karnataka,Lok Sabha,147000000.0,105810099.0,66577182.0,71.98,67,193,34.72,39232917.0,200,200,0,
LAXMIKANT PAPPU NISHAD,SANT KABIR NAGAR,Uttar Pradesh,Lok Sabha,147000000.0,105543227.0,27502127.0,71.8,2,505,0.4,78041100.0,38,8,30,
Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,Tamil Nadu,Lok Sabha,196905535.11,141333138.0,71998395.0,71.78,63,126,50.0,69334743.0,90,90,0,
KALI CHARAN SINGH,CHATRA,Jharkhand,Lok Sabha,147000000.0,105485624.0,51084747.0,71.76,75,511,14.68,54400877.0,296,265,31,
Shri Shantanu Thakur ,BANGAON,West Bengal,Lok Sabha,147000000.0,105418836.0,5993836.0,71.71,8,58,13.79,99425000.0,8,8,0,
ANAND BHADAURIYA,DHAURAHRA,Uttar Pradesh,Lok Sabha,147000000.0,105398057.33,78958947.0,71.7,132,184,71.74,26439110.33,373,360,13,
Shri Jayant Chaudhary (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,214074707.67,153464505.0,43141697.0,71.69,8,24,33.33,110322808.0,25,22,3,
Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,Karnataka,Lok Sabha,167541747.11,119890438.0,64488186.0,71.56,92,225,40.89,55402252.0,237,232,5,
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,Maharashtra,Lok Sabha,184758519.11,132159818.0,28008430.0,71.53,30,190,15.79,104151388.0,44,41,3,
DAMODAR AGARWAL,BHILWARA,Rajasthan,Lok Sabha,147000000.0,105136339.0,59365927.0,71.52,105,250,42.0,45770412.0,854,796,58,
Shri Nagendra Ray (2023-29),Sitting Rajya Sabha,West Bengal,Rajya Sabha,171500000.0,122435034.68,91735859.0,71.39,2,22,9.09,30699175.680000007,14,13,1,
SHREYAS. M. PATEL,HASSAN,Karnataka,Lok Sabha,147000000.0,104821153.0,58673951.0,71.31,35,204,17.16,46147202.0,181,177,4,
Shri Derek O' Brien (2023-29),Sitting Rajya Sabha,West Bengal,Rajya Sabha,171500000.0,122271928.0,70787264.0,71.3,0,35,0.0,51484664.0,16,16,0,
Ms. Dola Sen (2023-29),Sitting Rajya Sabha,West Bengal,Rajya Sabha,171500000.0,122263190.0,69414332.0,71.29,1,27,3.7,52848858.0,20,20,0,
SELJA,SIRSA,Haryana,Lok Sabha,147000000.0,104747841.0,26548478.0,71.26,59,312,18.91,78199363.0,152,137,15,
Gumma Thanuja Rani,ARAKU,Andhra Pradesh,Lok Sabha,149458905.11,106480215.0,74148372.0,71.24,28,138,20.29,32331843.0,92,86,6,
Shri Samirul Islam (2023-29),Sitting Rajya Sabha,West Bengal,Rajya Sabha,171500000.0,121458527.0,71238651.0,70.82,0,57,0.0,50219876.0,17,17,0,
JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR,West Bengal,Lok Sabha,168604641.11,119356958.0,36689865.0,70.79,1,96,1.04,82667093.0,41,41,0,
Smt. P. T. Usha (2022-28),Nominated Rajya Sabha,Kerala,Rajya Sabha,196063957.11,138646464.0,55206130.0,70.71,39,121,32.23,83440334.0,77,76,1,
GAURAV GOGOI,JORHAT,Assam,Lok Sabha,147000000.0,103945782.0,40746858.0,70.71,35,468,7.48,63198924.0,458,457,1,
Shri Neeraj Shekhar (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,236483662.11,167023319.0,90266672.0,70.63,41,327,12.54,76756647.0,176,176,0,
Maddila Gurumoorthy,TIRUPATI,Andhra Pradesh,Lok Sabha,180399007.0,127353086.0,64637243.0,70.6,110,290,37.93,62715843.0,168,149,19,
Shri I.S. Inbadurai (2025-31),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,89248285.42,63002801.0,15065385.0,70.59,15,83,18.07,47937416.0,31,31,0,
RAJABHAU,NASHIK,Maharashtra,Lok Sabha,152878682.11,107720864.0,47487714.0,70.46,21,110,19.09,60233150.0,50,45,5,
MALVIKA DEVI,KALAHANDI,Odisha,Lok Sabha,147000000.0,103289000.0,51104998.0,70.26,96,320,30.0,52184002.0,131,130,1,
Prasun Banerjee,HOWRAH,West Bengal,Lok Sabha,147000000.0,103186031.0,70699743.0,70.19,136,227,59.91,32486288.0,158,146,12,
VIRENDRA SINGH,CHANDAULI,Uttar Pradesh,Lok Sabha,147000000.0,103143714.0,86345853.0,70.17,13,32,40.63,16797861.0,49,45,4,
Prabhubhai Nagarbhai Vasava,BARDOLI,Gujarat,Lok Sabha,147000000.0,103087136.0,27468376.0,70.13,62,331,18.73,75618760.0,84,83,1,
Jitendra Singh,UDHAMPUR,Jammu And Kashmir,Lok Sabha,147000000.0,102965673.0,48296699.0,70.04,187,326,57.36,54668974.0,221,221,0,
SHAFI PARAMBIL,VADAKARA,Kerala,Lok Sabha,147000000.0,102753500.0,15909800.0,69.9,15,244,6.15,86843700.0,56,56,0,
